dataset,x,y
D,55.3846,97.1795
D,51.5385,96.0256
D,46.1538,94.4872
D,42.8205,91.4103
D,40.7692,88.3333
D,38.7179,84.8718
D,35.641,79.8718
D,33.0769,77.5641
D,28.9744,74.4872
D,26.1538,71.4103
D,23.0769,66.4103
D,22.3077,61.7949
D,22.3077,57.1795
D,23.3333,52.9487
D,25.8974,51.0256
D,29.4872,51.0256
D,32.8205,51.0256
D,35.3846,51.4103
D,40.2564,51.4103
D,44.1026,52.9487
D,46.6667,54.1026
D,50,55.2564
D,53.0769,55.641
D,56.6667,56.0256
D,59.2308,57.9487
D,61.2821,62.1795
D,61.5385,66.4103
D,61.7949,69.1026
D,57.4359,55.2564
D,54.8718,49.8718
D,52.5641,46.0256
D,48.2051,38.3333
D,49.4872,42.1795
D,51.0256,44.1026
D,45.3846,36.4103
D,42.8205,32.5641
D,38.7179,31.4103
D,35.1282,30.2564
D,32.5641,32.1795
D,30,36.7949
D,33.5897,41.4103
D,36.6667,45.641
D,38.2051,49.1026
D,29.7436,36.0256
D,29.7436,32.1795
D,30,29.1026
D,32.0513,26.7949
D,35.8974,25.2564
D,41.0256,25.2564
D,44.1026,25.641
D,47.1795,28.718
D,49.4872,31.4103
D,51.5385,34.8718
D,53.5897,37.5641
D,55.1282,40.641
D,56.6667,42.1795
D,59.2308,44.4872
D,62.3077,46.0256
D,64.8718,46.7949
D,67.9487,47.9487
D,70.5128,53.718
D,71.5385,60.641
D,71.5385,64.4872
D,69.4872,69.4872
D,46.9231,79.8718
D,48.2051,84.1026
D,50,85.2564
D,53.0769,85.2564
D,55.3846,86.0256
D,56.6667,86.0256
D,56.1538,82.9487
D,53.8462,80.641
D,51.2821,78.718
D,50,78.718
D,47.9487,77.5641
D,29.7436,59.8718
D,29.7436,62.1795
D,31.2821,62.5641
D,57.9487,99.4872
D,61.7949,99.1026
D,64.8718,97.5641
D,68.4615,94.1026
D,70.7692,91.0256
D,72.0513,86.4103
D,73.8462,83.3333
D,75.1282,79.1026
D,76.6667,75.2564
D,77.6923,71.4103
D,79.7436,66.7949
D,81.7949,60.2564
D,83.3333,55.2564
D,85.1282,51.4103
D,86.4103,47.5641
D,87.9487,46.0256
D,89.4872,42.5641
D,93.3333,39.8718
D,95.3846,36.7949
D,98.2051,33.718
D,56.6667,40.641
D,59.2308,38.3333
D,60.7692,33.718
D,63.0769,29.1026
D,64.1026,25.2564
D,64.359,24.1026
D,74.359,22.9487
D,71.2821,22.9487
D,67.9487,22.1795
D,65.8974,20.2564
D,63.0769,19.1026
D,61.2821,19.1026
D,58.7179,18.3333
D,55.1282,18.3333
D,52.3077,18.3333
D,49.7436,17.5641
D,47.4359,16.0256
D,44.8718,13.718
D,48.7179,14.8718
D,51.2821,14.8718
D,54.1026,14.8718
D,56.1538,14.1026
D,52.0513,12.5641
D,48.7179,11.0256
D,47.1795,9.8718
D,46.1538,6.0256
D,50.5128,9.4872
D,53.8462,10.2564
D,57.4359,10.2564
D,60,10.641
D,64.1026,10.641
D,66.9231,10.641
D,71.2821,10.641
D,74.359,10.641
D,78.2051,10.641
D,67.9487,8.718
D,68.4615,5.2564
D,68.2051,2.9487
D,37.6923,25.7692
D,39.4872,25.3846
D,91.2821,41.5385
D,50,95.7692
D,47.9487,95
D,44.1026,92.6923
A,32.33111023,61.41110125
A,53.42146288,26.18688039
A,63.92020226,30.83219392
A,70.28950572,82.53364859
A,34.11883024,45.73455132
A,67.6707164,37.11094797
A,53.25912941,97.4757711
A,63.51498087,25.10007858
A,67.98053881,80.95716522
A,67.3724659,29.7204002
A,15.56074952,80.06564029
A,71.79076769,71.06546666
A,70.24254644,24.10959755
A,64.93743554,81.55420499
A,62.21352455,21.475839
A,67.26940048,18.70896837
A,40.57019704,79.37296348
A,74.74118133,21.1016372
A,71.76831892,20.01106184
A,76.16691981,75.9361704
A,65.62365744,15.58280335
A,50.85063364,13.98760163
A,33.02407002,24.46783039
A,39.70632617,84.2752871
A,45.59648495,9.763348849
A,42.96804691,17.9454584
A,52.49440678,16.0511142
A,46.08227578,23.11045782
A,74.24770821,20.31418781
A,64.56826419,83.6396339
A,74.02169391,76.12827451
A,62.39118056,5.623070761
A,74.18903668,68.13358322
A,28.23678194,56.13959645
A,75.77193879,69.82923003
A,75.85522947,62.51704429
A,65.97085702,72.744856
A,21.77804048,6.616625307
A,67.75979625,72.42120153
A,78.61719534,52.57525731
A,68.50770819,15.45691897
A,74.88502116,25.41660632
A,66.45490366,19.83662865
A,77.3178021,48.39834644
A,58.91246032,75.66775622
A,57.61744782,8.194800603
A,76.0882258,59.67993002
A,57.46605055,1.504418175
A,79.42838349,45.21079429
A,76.35652215,10.41824113
A,64.40507526,78.58417608
A,40.63504181,73.39475037
A,43.94986459,75.95871567
A,30.99622058,71.69440494
A,68.23076899,80.87250166
A,72.04638946,12.91800673
A,46.59276797,84.97238278
A,49.25721834,81.88140323
A,42.78176125,12.99118843
A,65.4759522,14.27458564
A,71.96508265,17.71023594
A,32.14646234,43.48170944
A,31.8384977,71.81216539
A,31.00525826,40.68250301
A,80.47089432,49.50214835
A,71.96416711,41.87428267
A,78.07942144,93.13331677
A,41.67759577,30.20126408
A,65.95359519,31.14740608
A,62.93445937,31.9163907
A,64.37379798,28.86258341
A,72.50932836,39.54013025
A,30.05228987,96.61754235
A,28.00332424,46.67219195
A,75.40122686,88.63907662
A,38.98001542,87.32216069
A,65.21991355,84.68295493
A,73.05398996,29.38080856
A,34.39836164,59.5444469
A,43.49045013,40.78254207
A,55.13873797,30.72576036
A,43.68439343,32.82300987
